,전용면적(㎡),계약일,거래금액(만원),층,건축년도,구,동,평,계약년,계약월,한강,건물나이,재건축,단지명
273057,4.05646961,28,10.21467861,2.48490665,2009,7,180,2.980618636,2014,11,0,5,0,동호스카이
273062,4.58670067,20,10.34177474,2.48490665,2003,7,180,3.499533282,2014,9,0,11,0,보배빌아파트(90-2)
273063,4.625070848,18,10.41933057,2.079441542,2003,7,180,3.535145354,2014,10,0,11,0,보배빌아파트(90-2)
273068,3.986944932,6,9.998843186,2.708050201,2008,7,180,2.917770732,2014,10,0,6,0,송학파크팰리스
273075,4.324265098,2,10.04329297,2.48490665,2004,7,180,3.242592351,2015,2,0,11,0,예원(86-126)
273077,4.449802099,24,10.37352243,1.945910149,2004,7,180,3.363841595,2015,2,0,11,0,청록MS(91-9)
273081,4.677862871,9,10.57134257,2.302585093,2001,7,180,3.589059119,2015,5,0,14,0,해주드림빌
273082,4.108247467,26,10.20362918,2.708050201,2001,7,180,3.0301337,2015,5,0,14,0,해주드림빌
273086,4.996401134,5,10.59665973,2.48490665,1993,7,180,3.90197267,2014,11,0,21,0,현재맨션
273087,5.108729474,16,10.8685875,2.302585093,1993,7,180,4.012772909,2015,6,0,22,0,현재맨션
273107,3.618993327,31,10.16589028,2.833213344,2014,7,21,2.564949357,2015,1,0,1,0,대조리치빌III
273108,3.434632158,31,10.08585078,2.944438979,2014,7,21,2.388762789,2015,1,0,1,0,대조리치빌III
273109,3.50375397,4,9.867912187,2.944438979,2014,7,21,2.451005098,2015,2,0,1,0,대조리치빌III
273143,3.235142797,10,9.798182591,2.890371758,2014,7,21,2.208274414,2014,9,0,0,0,미래하임(6-19)
273144,3.353756307,13,9.89348772,2.833213344,2014,7,21,2.312535424,2014,9,0,0,0,미래하임(6-19)
273151,3.453789832,27,9.928228944,2.564949357,2014,7,21,2.406945108,2014,11,0,0,0,미래하임(6-19)
273154,3.711618941,21,10.07748288,2.890371758,2013,7,21,2.653241965,2015,7,0,2,0,미래하임(9-46)
273196,4.548070594,27,10.38902614,1.945910149,2003,7,21,3.45946629,2014,11,0,11,0,신세계드림빌1
273197,4.220683484,3,10.11863925,2.48490665,2003,7,21,3.139832618,2015,4,0,12,0,신세계드림빌1
273199,4.424966385,20,10.39821428,2.48490665,2008,7,21,3.339321978,2014,10,0,6,0,아이안
273200,4.373238129,8,10.30898599,2.302585093,2008,7,21,3.288401888,2015,7,0,7,0,아이안
273204,3.462292481,14,9.947552284,2.833213344,2014,7,21,2.415913778,2014,10,0,0,0,영화빌리지
273206,3.491342732,14,9.928228944,2.708050201,2014,7,21,2.442347035,2014,11,0,0,0,영화빌리지
273212,3.816832818,14,10.18493775,2.944438979,2014,7,21,2.753660712,2014,10,0,0,0,유성아이비아파트
273213,3.731938944,14,10.14647295,2.833213344,2014,7,21,2.674148649,2014,10,0,0,0,유성아이비아파트
273225,3.309447523,12,9.857495969,2.564949357,2014,7,21,2.272125886,2014,9,0,0,0,정익제이원
273229,3.725934362,29,10.25417963,2.890371758,2014,7,21,2.667228207,2014,11,0,0,0,정익제이원
273245,3.319625728,23,9.84697011,2.890371758,2015,7,21,2.282382386,2015,3,0,0,0,정익제이원아파트(15-114)
273246,3.283914221,4,9.883335864,2.833213344,2015,7,21,2.251291799,2015,4,0,0,0,정익제이원아파트(15-114)
273251,3.086029912,6,9.798182591,2.833213344,2015,7,21,2.066862759,2015,5,0,0,0,정익제이원아파트(15-114)
273252,3.385406696,15,10.16589028,2.944438979,2015,7,21,2.341805806,2015,5,0,0,0,정익제이원아파트(15-114)
273262,2.660958594,7,9.34145635,2.48490665,2012,7,21,1.686398954,2015,8,0,3,0,제이타워1
273263,2.579458967,7,9.337061125,2.397895273,2012,7,21,1.609437912,2015,8,0,3,0,제이타워1
273268,2.577941516,19,8.732465848,2.564949357,2012,7,21,1.609437912,2015,6,0,3,0,제이타워2
273286,2.570319528,22,9.323758339,2.63905733,2012,7,21,1.609437912,2015,8,0,3,0,제이타워3
273287,2.667228207,5,9.323758339,2.708050201,2013,7,21,1.686398954,2015,8,0,2,0,제이타워4
273288,2.58021683,11,9.323758339,2.564949357,2013,7,21,1.609437912,2015,8,0,2,0,제이타워4
